Age_Ma,Al_Area,Si_Area,P_Area,S_Area,Cl_Area,K_Area,Ca_Area,Ti_Area,Cr_Area,Mn_Area,Fe_Area,Rh_Area,Cu_Area,Zn_Area,Ga_Area,Br_Area,Rb_Area,Sr_Area,Y_Area,Zr_Area,Nb_Area,Mo_Area,Pb_Area,Bi_Area,Ag_Area,Cd_Area,Sn_Area,Te_Area,Ba_Area,T_Area
6.943604946,2747,45845,-4501,-1480,49205,13450,3184311,6547,305,7865,101431,52942,450,767,85,3500,1627,115649,1967,6048,-1652,-1822,425,276,1319473,2644,15837,3077,21890.0,170020
6.944469929,2137,46136,-4577,-1706,49408,14002,3116708,6711,31,7590,100758,52399,600,884,139,3303,1658,114578,1232,5114,-1242,-1119,401,225,1312826,2305,16343,3378,21174.0,169744
6.945334435,2474,44695,-4078,-1642,48922,12909,3058894,6940,24,7475,99553,52537,745,869,153,3315,1558,114458,1927,5508,-1412,-1060,349,235,1300626,2439,15354,3561,21646.0,166571
6.946199417,2760,45288,-4338,-1672,48326,12810,3032040,7461,441,6832,99565,52243,577,762,110,3237,2230,113151,1457,5635,-1365,-1408,594,357,1302219,2403,15745,3760,22452.0,167884
6.9470644,2017,40813,-4091,-1177,44600,11843,2792929,6745,189,6940,95046,47681,479,634,24,3199,1669,109015,1425,5609,-1823,-974,453,286,1305041,2480,15015,2811,21068.0,156464
6.947929382,2589,42723,-3869,-1281,46080,12664,2853411,6838,236,6661,98012,48184,548,767,84,3359,1529,111880,1619,6014,-1678,-1699,463,296,1309454,2332,16184,3625,22220.0,162826
6.948793888,2626,44072,-3725,-1079,47815,11877,2775046,7425,-50,6930,97934,49646,482,746,54,3523,2004,107119,1781,6006,-1867,-1543,302,301,1310887,2555,16724,2789,22510.0,163934
6.949658871,2831,46240,-4451,-1607,50973,12816,2977391,7741,-81,7596,105187,50344,516,770,200,3563,2119,113393,1713,5361,-1235,-1342,276,198,1328835,2510,17252,3529,24447.0,174815
6.950523853,2864,45844,-4389,-1299,50525,13261,2994898,7142,119,7296,106300,48681,492,801,85,3650,2165,114989,2263,6006,-1438,-1508,450,239,1335230,2681,17074,3615,23508.0,175411
6.951387882,2975,48968,-3976,-1029,52421,14988,3113325,8269,635,7392,109633,49972,655,894,159,3657,2170,118332,1208,5437,-1613,-1651,418,358,1352379,2702,16777,4029,24822.0,184833
6.952253342,2620,46865,-3712,-1084,53109,15098,3030943,8234,132,7367,106638,49605,652,977,193,3850,1843,121138,2184,5604,-1219,-1057,418,152,1358073,2807,16295,2857,25151.0,179455
6.953118324,2849,50455,-4715,-1250,54758,14289,3162352,7921,33,7835,119053,51688,561,909,131,3670,1879,120058,1567,6194,-1161,-1769,405,226,1378725,2315,17787,3009,24340.0,194567
6.953983307,2614,44949,-4350,-1342,53889,13001,3087246,7846,31,7646,110253,48470,648,1080,121,3620,1736,118460,2286,6231,-1022,-876,569,201,1367736,2688,17957,3708,28388.0,178663
6.954847813,2320,43255,-3996,-970,54131,13906,3003103,8341,568,6609,107113,50406,1068,1717,55,3677,1791,120484,1984,6427,-1006,-640,489,181,1333629,2950,17091,3992,25663.0,174935
6.955712795,1675,34695,-3173,-801,44514,10734,2502292,7094,817,5119,95638,41981,1154,1182,102,3634,2263,117910,1380,5622,-1752,-1095,346,283,1342547,2920,16051,4126,24636.0,149836
6.958307266,2369,38867,-3252,-302,46855,11420,2755981,7801,331,8012,90585,43795,793,742,121,3304,1825,118664,2667,5505,-1865,-1241,582,270,1359925,2966,15902,3897,30342.0,151042
6.959172249,2150,42395,-3698,-764,50284,12650,3033247,7182,945,8065,89891,52117,1191,663,-12,3724,2319,117589,2090,4899,-1048,26,1067,284,1354038,2507,16590,3264,30315.0,154268
6.959966183,2114,37330,-3348,-47,44191,10467,2719352,6784,-84,6944,82421,46635,580,755,68,3274,1918,109777,1720,5017,-1843,-1428,424,303,1336571,2293,15958,3470,25793.0,139116
6.960631371,2063,33150,-2816,-375,41279,8954,2536885,6610,-17,6685,74817,45803,524,664,104,2823,1557,102927,1786,5199,-1718,-1213,327,227,1339111,3069,15825,3417,25828.0,125594
6.961297512,2094,36002,-3393,-137,46326,10146,2810754,6249,269,7307,79362,48288,504,613,158,3292,1260,105592,1377,4624,-1099,-783,385,227,1309638,2169,14687,2645,24508.0,133853
6.961963177,2099,40119,-3728,-425,51179,11423,3054963,7100,490,7694,84989,51344,546,709,160,3316,1806,116177,2168,5335,-1101,-917,389,199,1315196,2548,15997,3762,26494.0,145730
6.962628841,2511,41584,-3940,-703,49981,12608,3118241,6750,302,7872,85359,53943,855,751,115,3334,1828,115637,1644,4874,-1759,-1069,415,337,1308997,2070,15093,2983,25710.0,148812
