Age_Ma,C. wuellerstorfi13C,Al_Area,Si_Area,P_Area,S_Area,Cl_Area,K_Area,Ca_Area,Ti_Area,Cr_Area,Mn_Area,Fe_Area,Rh_Area,Cu_Area,Zn_Area,Ga_Area,Br_Area,Rb_Area,Sr_Area,Y_Area,Zr_Area,Nb_Area,Mo_Area,Pb_Area,Bi_Area,Ag_Area,Cd_Area,Sn_Area,Te_Area,Ba_Area,T_Area
7.145,0.593,2090,43973,-4497,-1169,57519,11337,3114079,6717,90,6222,77235,51732,820,990,138,3908,1910,133534,1348,5306,-2032,-939,651,272,1361705,2067,17366,2873,24541,141352
7.153,0.332,2339,43714,-4747,-1359,55029,10713,3329367,6534,172,8363,84564,51614,531,918,93,3669,1576,121646,1469,5986,-1365,-830,379,313,1353776,3086,15917,3528,23120,147864
7.161,0.377,2678,51575,-3730,-812,58467,17878,3048728,8079,1058,7460,112271,51119,553,937,143,4100,2401,124714,1752,6814,-1171,-1565,516,243,1373754,2827,16578,2994,24262,192481
7.166,0.645,2454,48992,-3910,-1713,51633,19464,2671731,8707,1254,6766,110494,49217,533,844,120,4187,2768,121639,1659,7093,-1418,-1473,450,298,1390617,2621,16800,4270,29718,190111
7.171,0.423,2830,54054,-2789,-404,50061,22613,2714707,8433,250,6445,97983,51279,660,1020,127,3490,2351,115932,2587,6447,-1480,-1232,453,271,1330548,2791,17599,3680,26987,185913
7.18,0.839,2195,37339,-4434,-770,47192,9042,3286396,4693,485,7920,60410,51038,432,606,113,2693,1455,105012,1446,5064,-1483,-1019,374,315,1343968,2258,17063,2945,16345,113679
7.186,0.786,2374,41441,-4093,-1173,48223,11824,3219504,5723,1255,7487,72479,52817,1825,2619,27,2615,1371,108021,1690,5090,-1168,-328,925,276,1340873,2496,16688,3429,18206,133841
7.192,0.758,2286,42544,-3855,-453,52580,11843,3164452,6375,537,8399,78947,54046,496,749,168,3371,1931,111297,1787,4533,-1339,-945,370,229,1360596,2760,16321,3007,23699,141995
7.198,0.544,2807,45731,-3583,-885,52164,12873,3128560,7371,-18,8259,88695,54328,525,870,211,3330,1573,110349,1289,5816,-1460,-916,438,232,1372564,2408,16789,3189,29476,157477
7.204,0.368,2657,49066,-3406,-924,46554,16750,2843546,7893,819,7260,103507,54248,514,967,135,3369,2349,106507,1767,5655,-891,-1448,471,308,1348494,3097,16526,3081,25379,179873
7.207,0.734,3236,53120,-3332,-760,48938,17919,2961687,8550,546,7180,117436,53420,516,928,140,3337,2405,112476,2189,5344,-718,-1295,314,242,1313803,2770,16893,3953,27324,200261
7.21,0.248,3158,54357,-3569,-636,53028,18835,2936504,8979,138,6446,139874,50518,608,1464,176,3631,2565,112796,2446,5828,-493,-705,633,279,1376864,2536,16674,3111,30762,225203
